"Bharatiya Nyaya Sanhita, 2023","Indian Penal Code, 1860"
83. Marriage ceremony fraudulently gone through without lawful marriage.,496. Marriage ceremony fraudulently gone through without lawful marriage.
Deleted,497. Adultery
84. Enticing or taking away or detaining with criminal intent a married woman.,498. Enticing or taking away or detaining with criminal intent a married woman.
,CHAPTER XXA<para>CRUELTY BY HUSBAND OR RELATIVES OF HUSBAND
85. Husband or relative of husband of a woman subjecting her to cruelty.,498A. Husband or relative of husband of a woman subjecting her to cruelty.
86. Cruelty Defined,498A. Explanation
,"CHAPTER XVI<para>OF OFFENCES AFFECTING THE HUMAN BODY<para>Of Kidnapping, Abduction, Slavery and Forced Labour"
"87. Kidnapping, abducting or inducing woman to compel her marriage, etc.","366. Kidnapping, abducting or inducing woman to compel her marriage, etc."
"Of causing of miscarriage, etc.","Of the causing of Miscarriage, of Injuries to unborn Children, of the exposure of infants, and of the Concealment of Births"
88. Causing miscarriage.,312. Causing miscarriage.
89. Causing miscarriage without woman’s consent.,313. Causing miscarriage without woman's consent.
90. Death caused by act done with intent to cause miscarriage.,314. Death caused by act done with intent to cause miscarriage.
91. Act done with intent to prevent child being born alive or to cause to die after birth.,315. Act done with intent to prevent child being born alive or to cause it to die after birth.
92. Causing death of quick unborn child by act amounting to culpable homicide.,316. Causing death of quick unborn child by act amounting to culpable homicide.
Of offences against children,
"93. Exposure and abandonment of child under twelve years, by parent or person having care of it.","317. Exposure and abandonment of child under twelve years, by parent or person having care of it."
94. Concealment of birth by secret disposal of dead body.,318. Concealment of birth by secret disposal of dead body.
"95. Hiring, employing or engaging a child to commit an offence.",New Section
96. Procuration of child.,366A. Procuration of minor girl.
97. Kidnapping or abducting child under ten years of age with intent to steal from its person.,369. Kidnapping or abducting child under ten years with intent to steal from its person.
"98. Selling child for purposes of prostitution, etc.","372. Selling minor for purposes of prostitution, etc."
"99. Buying child for purposes of prostitution, etc.","373. Buying minor for purposes of prostitution, etc."
CHAPTER VI<para>OF OFFENCES AFFECTING THE HUMAN BODY<para>Of offences affecting life,CHAPTER XVI<para>OF OFFENCES AFFECTING THE HUMAN BODY<para>Of Offences affecting Life
100. Culpable homicide.,299. Culpable homicide
101. Murder.,300. Murder.
102. Culpable homicide by causing death of person other than person whose death was intended.,301. Culpable homicide by causing death of person other than person whose death was intended.
103. Punishment for murder.,302. Punishment for murder.
104. Punishment for murder by life-convict.,303. Punishment for murder by life-convict.
105. Punishment for culpable homicide not amounting to murder.,304. Punishment for culpable homicide not amounting to murder.
106. Causing death by negligence.,304A. Causing death by negligence.
106(2),New Sub-Section
107. Abetment of suicide of child or person of unsound mind.,305. Abetment of suicide of child or insane person.
108. Abetment of suicide.,306. Abetment of suicide.
109. Attempt to murder.,307. Attempt to murder.
110. Attempt to commit culpable homicide.,308. Attempt to commit culpable homicide.
111. Organised crime,New Section
112. Petty organised crime.,New Section
113. Terrorist act.,New Section
Of hurt,Of Hurt
114. Hurt.,319. Hurt
115. Voluntarily causing hurt.<para>115(1),321. Voluntarily causing hurt.
115(2),323. Punishment for voluntarily causing hurt.
116. Grievous hurt.,320. Grievous hurt.
117. Voluntarily causing grievous hurt.<para>117(1),322. Voluntarily causing grievous hurt.
117(2),325. Punishment for voluntarily causing grievous hurt.
118. Voluntarily causing hurt or grievous hurt by dangerous weapons or means.<para>118(1),324. Voluntarily causing hurt by dangerous weapons or means.
118(2),326. Voluntarily causing grievous hurt by dangerous weapons or means.
"119. Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act.<para>119(1)","327. Voluntarily causing hurt to extort property, or to constrain to an illegal to an act."
119(2),"329. Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act."
"120. Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property.<para>120(1)","330. Voluntarily causing hurt to extort confession, or to compel restoration of property."
120(2),"331. Voluntarily causing grievous hurt to extort confession, or to compel restoration of property."
121. Voluntarily causing hurt or grievous hurt to deter public servant from his duty.<para>121(1),332. Voluntarily causing hurt to deter public servant from his duty.
121(2),333. Voluntarily causing grievous hurt to deter public servant from his duty.
122. Voluntarily causing hurt or grievous hurt on provocation.<para>122(1),334. Voluntarily causing hurt on provocation.
122(2),335. Voluntarily causing grievous hurt on provocation.
"123. Causing hurt by means of poison, etc., with intent to commit an offence.","328. Causing hurt by means of poison, etc., with intent to commit and offence."
"124. Voluntarily causing grievous hurt by use of acid, etc.<para>124(1)","326A. Voluntarily causing grievous hurt by use of acid, etc."
124(2),326B. Voluntarily throwing or attempting to throw acid.
125. Act endangering life or personal safety of others.,336. Act endangering life or personal safety of others.
125(a),337. Causing hurt by act endangering life or personal safety of others.
125(b),338. Causing grievous hurt by act endangering life or personal safety of others.
Of wrongful restraint and wrongful confinement,Of wrongful restraint and wrongful confinement
126. Wrongful restraint.<para>126(1),339. Wrongful restraint.
126(2),341. Punishment for wrongful restraint.
127. Wrongful confinement.<para>127(1),340. Wrongful confinement.
127(2),342. Punishment for wrongful confinement.
127(3),343. Wrongful confinement for three or more days.
127(4),344. Wrongful confinement for ten or more days.
127(5),345. Wrongful confinement of person for whose liberation writ has been issued.
127(6),346. Wrongful confinement in secret.
127(7),"347. Wrongful confinement to extort property, or constrain to illegal act."
127(8)<para>,"348. Wrongful confinement to extort confession, or compel restoration of property."
Of criminal force and assault,Of Criminal Force and Assault
128. Force.,349. Force
129. Criminal force.,350. Criminal force
130. Assault.,351. Assault.
131. Punishment for assault or criminal force otherwise than on grave provocation.,352. Punishment for assault or criminal force otherwise than on grave provocation.
132. Assault or criminal force to deter public servant from discharge of his duty,353. Assault or criminal force to deter public servant from discharge of his duty
"133. Assault or criminal force with intent to dishonour person, otherwise than on grave provocation.","355. Assault or criminal force with intent to dishonour person, otherwise than on grave provocation."
134. Assault or criminal force in attempt to commit theft of property carried by a person.,356. Assault or criminal force in attempt to commit theft of property carried by a person.
135. Assault or criminal force in attempt to wrongfully to confine a person.,357. Assault or criminal force in attempt wrongfully to confine a person.
136. Assault or criminal force on grave provocation.,358. Assault or criminal force on grave provocation.
"Of kidnapping, abduction, slavery and forced labour","Of Kidnapping, Abduction, Slavery and Forced Labour"
137. Kidnapping.<para>137(1),359. Kidnapping.
137(1)(a),360. Kidnapping from India.
137(1)(b),361. Kidnapping from lawful guardianship.
137(2),363. Punishment for kidnapping.
138. Abduction.,362. Abduction.
