"Bharatiya Nyaya Sanhita, 2023","Indian Penal Code, 1860"
139. Kidnapping or maiming a child for purposes of begging.,363A. Kidnapping or maiming a minor for purposes of begging.
140. Kidnapping or abducting in order to murder or for ransom etc.<para>140(1),364. Kidnapping or abducting in order to murder.
140(2),"364A. Kidnapping for ransom, etc."
140(3)<para>,365. Kidnapping or abducting with intent secretly and wrongfully to confine person.
140(4),"367. Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc."
141. Importation of girl or boy from foreign country.,366B. Importation of girl from foreign country.
"142. Wrongfully concealing or keeping in confinement, kidnapped or abducted person.","368. Wrongfully concealing or keeping in confinement, kidnapped or abducted person."
143. Trafficking of person.,370. Trafficking of person.
144. Exploitation of a trafficked person.,370A. Exploitation of a trafficked person
145. Habitual dealing in slaves.,371. Habitual dealing in slaves.
146. Unlawful compulsory labour.,374. Unlawful compulsory labour.
CHAPTER VII<para>OF OFFENCES AGAINST THE STATE,CHAPTER VI<para>OF OFFENCES AGAINST THE STATE
"147. Waging, or attempting to wage war, or abetting waging of war, against Government of India.","121. Waging, or attempting to wage war, or abetting waging of war, against the Government of India."
148. Conspiracy to commit offences punishable by section 147.,121A. Conspiracy to commit offences punishable by section 121.
"149. Collecting arms, etc., with intention of waging war against Government of India.","122. Collecting arms, etc., with intention of waging war against the Government of India."
150. Concealing with intent to facilitate design to wage war.,123. Concealing with intent to facilitate design to wage war.
"151. Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power.","124. Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power."
Deleted,124A. Sedition
"152. Acts endangering sovereignty, unity and integrity of India.",New Section
153. Waging war against Government of any foreign State at peace with Government of India.,125. Waging war against any Asiatic Power in alliance with the Government of India.
154. Committing depredation on territories of foreign State at peace with Government of India.,126. Committing depredation on territories of Power at peace with the Government of India.
155. Receiving property taken by war or depredation mentioned in sections 153 and 154.,127. Receiving property taken by war or depredation mentioned in sections 125 and 126.
156. Public servant voluntarily allowing prisoner of State or war to escape.,128. Public servant voluntarily allowing prisoner of state or war to escape.
157. Public servant negligently suffering such prisoner to escape.,129. Public servant negligently suffering such prisoner to escape.
"158. Aiding escape of, rescuing or harbouring such prisoner.","130. Aiding escape of, rescuing or harbouring such prisoner."
"CHAPTER VIII<para>OF OFFENCES RELATING TO THE ARMY, NAVY AND AIR FORCE","CHAPTER VII<para>OF OFFENCES RELATING TO THE ARMY, NAVY AND AIR FORCE"
"159. Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.","131. Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty."
"160. Abetment of mutiny, if mutiny is committed in consequence thereof.","132. Abetment of mutiny, if mutiny is committed in consequence thereof."
"161. Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office.","133. Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office."
"162. Abetment of such assault, if assault committed.","134. Abetment of such assault, if the assault committed."
"163. Abetment of desertion of soldier, sailor or airman.","135. Abetment of desertion of soldier, sailor or airman."
164. Harbouring deserter.,136. Harbouring deserter.
165. Deserter concealed on board merchant vessel through negligence of master.,137. Deserter concealed on board merchant vessel through negligence of master.
"166. Abetment of act of insubordination by soldier, sailor or airman.","138. Abetment of act of insubordination by soldier, sailor or airman."
167. Persons subject to certain Acts.,139. Persons subject to certain Acts.
"168. Wearing garb or carrying token used by soldier, sailor or airman.","140. Wearing garb or carrying token used by soldier, sailor or airman."
CHAPTER IX<para>OF OFFENCES RELATING TO ELECTIONS,CHAPTER IXA<para>OF OFFENCES RELATING TO ELECTIONS
"169. Candidate, electoral right defined.","171A. “Candidate”, “Electoral right” defined."
170. Bribery.,171B. Bribery.
171. Undue influence at elections.,171C. Undue influence at elections.
172. Personation at elections.,171D. Personation at elections.
173. Punishment for bribery.,171E. Punishment for bribery.
174. Punishment for undue influence or personation at an election.,171F. Punishment for undue influence or personation at an election.
175. False statement in connection with an election.,171G. False statement in connection with an election.
176. Illegal payments in connection with an election.,171H. Illegal payments in connection with an election.
177. Failure to keep election accounts.,171-I. Failure to keep election accounts.
"CHAPTER X<para>OF OFFENCES RELATING TO COIN, CURRENCY-NOTES, BANK-NOTES, AND GOVERNMENT STAMPS",CHAPTER XII<para>OF OFFENCES RELATING TO COIN AND GOVERNMENT STAMPS
"178. Counterfeiting coin, Government stamps, currency-notes or bank-notes.",231. Counterfeiting coin.<para>255.Counterfeiting Government stamp.<para>489A. Counterfeiting currency-notes or bank-notes.
Explanation,
178(1),Explanation to 489A
178(2),230. “Coin” defined.
178(3),Explanation to 255
178(4),Explanation to 231
178(5),246. Fraudulently or dishonestly diminishing weight or altering composition of coin.<para>248. Altering appearance of coin with intent that it shall pass as coin of different description.<para>(reference to ‘Indian coin’ removed)
"179. Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes.<para><para>","237. Import or export of counterfeit coin.<para>238. Import or export of counterfeits of the Indian coin.<para>239. Delivery of coin, possessed with knowledge that it is counterfeit.<para>240. Delivery of Indian coin, possessed with knowledge that it is counterfeit.<para>241. Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit.<para>250. Delivery of coin, possessed with knowledge that it is altered.<para>251. Delivery of Indian coin, possessed with knowledge that it is altered.<para>254. Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be altered.<para>258. Sale of counterfeit Government stamp.<para>260. Using as genuine a Government stamp known to be counterfeit.<para>489B. Using as genuine, forged or counterfeit currency-notes or bank-notes."
"180. Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes.",242. Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof.<para>243. Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof.<para>252. Possession of coin by person who knew it to be altered when he became possessed thereof.<para>253. Possession of Indian coin by person who knew it to be altered when he became possessed thereof.<para>259. Having possession of counterfeit Government stamp.<para>489C. Possession of forged or counterfeit currency-notes or bank-notes.
"181. Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes.",233. Making or selling instrument for counterfeiting coin.<para>234. Making or selling instrument for counterfeiting Indian coin.<para>235. Possession of instrument or material for the purpose of using the same for counterfeiting coin.<para>256. Having possession of instrument or material for counterfeiting Government stamp.<para>257. Making or selling instrument for counterfeiting Government stamp.<para>489D. Making or possessing instruments or materials for forging or counterfeiting currency notes or bank-notes.
Deleted,236. Abetting in India the counterfeiting out of India of coin.
182. Making or using documents resembling currency-notes or bank-notes.,489E. Making or using documents resembling currency-notes or bank-notes.
"183. Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government.","261. Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government."
184. Using Government stamp known to have been before used.,262. Using Government stamp known to have been before used
185. Erasure of mark denoting that stamp has been used.,263. Erasure of mark denoting that stamp has been used
186. Prohibition of fictitious stamps.,263A. Prohibition of fictitious stamps.
187. Person employed in mint causing coin to be of different weight or composition from that fixed by law.,244. Person employed in mint causing coin to be of different weight or composition from that fixed by law.
188. Unlawfully taking coining instrument from mint.,245. Unlawfully taking coining instrument from mint.
CHAPTER XI<para>OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,CHAPTER VIII<para>OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY
189. Unlawful assembly.<para>189(1),141. Unlawful assembly.
189(2),143. Punishment.
189(3)<para>,"145. Joining or continuing in unlawful assembly, knowing it has been commanded to disperse."
189(4),144. Joining unlawful assembly armed with deadly weapon.
189(5)<para>,151. Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse.
189(6),"150. Hiring, or conniving at hiring, of persons to join unlawful assembly."
189(7),157. Harbouring persons hired for an unlawful assembly.
189(8),158. Being hired to take part in an unlawful assembly or riot.
189(9),158. or to go armed.
190. Every member of unlawful assembly guilty of offence committed in prosecution of common object.,149. Every member of unlawful assembly guilty of offence committed in prosecution of common object.
191. Rioting.<para>191(1),146. Rioting.
191(2),147. Punishment for rioting.
191(3),"148. Rioting, armed with deadly weapon."
192. Wantonly giving provocation with intent to cause riot- if rioting be committed; if not committed.,153. Wantonly giving provocation with intent to cause riot—if rioting be committed; if not committed.
"193. Liability of owner, occupier etc., of land on which an unlawful assembly or riot takes place.<para>193(1)",154. Owner or occupier of land on which an unlawful assembly is held.
193(2),155. Liability of person for whose benefit riot is committed.
193(3),156. Liability of agent of owner or occupier for whose benefit riot is committed.
194. Affray.<para>194(1),159. Affray.
194(2),160. Punishment for committing affray.
"195. Assaulting or obstructing public servant when suppressing riot, etc.","152. Assaulting or obstructing public servant when suppressing riot, etc."
"196. Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony.","153A. Promoting enmity between different groups on ground of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony."
Deleted,"153AA. Punishment for knowingly carrying arms in any procession or organizing, or holding or taking part in any mass drill or mass training with arms."
"197. Imputations, assertions prejudicial to national integration.","153B. Imputations, assertions prejudicial to national integration."
CHAPTER XII<para>OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,CHAPTER IX<para>OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS
"198. Public servant disobeying law, with intent to cause injury to any person.","166. Public servant disobeying law, with intent to cause injury to any person."
199. Public servant disobeying direction under law.,166A. Public servant disobeying direction under law.
200. Punishment for non-treatment of victim.,166B. Punishment for non-treatment of victim.
201. Public servant framing an incorrect document with intent to cause injury.,167. Public servant framing an incorrect document with intent to cause injury.
202. Public servant unlawfully engaging in trade.,168. Public servant unlawfully engaging in trade.
203. Public servant unlawfully buying or bidding for property.,169. Public servant unlawfully buying or bidding for property.
204. Personating a public servant.,170. Personating a public servant.
205. Wearing garb or carrying token used by public servant with fraudulent intent.,171. Wearing garb or carrying token used by public servant with fraudulent intent.
CHAPTER XIII<para>OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,CHAPTER X<para>OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS
206. Absconding to avoid service of summons or other proceeding.,172. Absconding to avoid service of summons or other proceeding.
